timestamp,value,quality_indicator
1716371006,46,0
1716374606,52,0
1716378206,52,0
1716382324,53,1
1716387707,53,1
1716391307,52,2
1716396764,52,2
1716401621,52,2
1716405220,52,2
1716409370,53,3
1716412970,53,3
1716419001,50,4
1716422601,50,4
1716426201,50,4
1716429801,50,4
1716433401,50,4
1716437001,50,4
1716440601,50,4
1716449637,50,4
1716454592,50,4
1716458192,50,4
1716461792,50,4
1716465392,50,4
1716468992,50,4
1716474590,50,4
1716492459,50,4
1716502185,50,4
1716506987,51,4
1716510587,51,4
1716514187,52,4
1716517787,52,4
1716521387,52,4
1716527928,52,4
1716533588,52,4
1716544763,52,4
1716551014,52,4
1716554614,52,4
1716558214,52,4
1716562444,52,4
1716566044,52,4
1716570949,52,4
1716574549,52,4
1716578149,52,4
1716581749,51,4
1716585349,51,4
1716588949,51,4
1716592549,51,4
1716596149,51,4
1716599749,50,4
1716603349,50,4
1716881937,47,0
1716885537,48,0
1716889137,47,1
1716892735,47,2
1716897956,47,2
1716901556,48,3
1716905156,49,3
1716913055,49,3
1716922421,49,3
1716926021,50,4
1716931000,49,4
1716934600,49,4
1716938200,49,4
1716941800,49,4
1716945400,49,4
1716948999,49,4
1716952599,49,4
1716956199,49,4
1716959799,49,4
1716963399,50,4
1716971841,49,4
1716975441,49,4
1716979041,49,4
1716982641,49,4
1716989860,50,4
1716993460,50,4
1717008715,50,4
1717012315,50,4
1717015915,50,4
1717019515,50,4