timestamp,value,body_position,quality_indicator
1689059983,5915,2,4
1689059987,696,2,4
1689059991,1147,2,4
1689059995,477,2,4
1689059999,2381,2,4
1689060003,134,2,4
1689060007,671,2,4
1689060011,142,2,4
1689060015,1065,2,4
1689060019,2029,2,4
1689060023,881,2,4
1689060027,2214,2,4
1689060031,849,2,4
1689060035,534,2,4
1689060039,5196,2,4
1689060043,2751,2,4
1689060047,448,2,4
1689060051,1791,2,4
1689060055,598,2,4
1689060059,254,2,4
1689060063,583,2,4
1689060067,2033,2,4
1689060071,272,2,4
1689060075,1834,2,4
1689060079,4116,2,4
1689060083,5404,2,4
1689060087,35,2,4
1689060594,36,2,4
1689060598,307,2,4
1689060602,19,2,4
1689060606,22,2,4
1689060610,16,2,4
1689060614,14,2,4
1689061442,23,2,4
1689061446,306,2,4
1689061450,15,2,4
1689061454,14,2,4
1689061458,15,2,4
1689061462,13,2,4
1689061696,30,2,4
1689061700,307,2,4
1689061704,17,2,4
1689061708,15,2,4
1689061712,18,2,4
1689061716,22,2,4
1689061756,4385,2,4
1689061760,2865,2,4
1689061764,4283,2,4
1689061768,1609,2,4
1689061772,839,2,4
1689061776,2360,2,4
1689061780,1784,2,4
1689061784,1451,2,4
1689061788,2992,2,4
1689061792,1054,2,4
1689061796,657,2,4
1689061800,1340,2,4
1689061804,118,2,4
1689061808,2715,2,4
1689061812,1302,2,4
1689061816,2002,2,4
1689061820,447,2,4
1689061824,160,2,4
1689061828,309,2,4
1689061832,340,2,4
1689061836,1861,2,4
1689061840,599,2,4
1689061844,68,2,4
1689061848,84,2,4
1689061852,61,2,4
1689061856,82,2,4
1689061860,54,2,4
1689061864,75,2,4
1689061868,50,2,4
1689061872,50,2,4
1689061876,44,2,4
1689061880,42,2,4
1689061884,43,2,4
1689061888,60,2,4
1689061892,36,2,4
1689061896,43,2,4
1689061900,49,2,4
1689061904,43,2,4
1689061908,63,2,4
1689061912,50,2,4
1689061916,3078,2,4
1689061920,1154,2,4
1689061924,547,2,4
1689061928,476,2,4
1689061932,413,2,4
1689061936,9193,2,4
1689061940,1017,2,4
1689061944,894,2,4
1689061948,2141,2,4
1689061952,104,2,4
1689061956,85,2,4
1689061960,55,2,4
1689061964,29,2,4
1689061968,30,2,4
1689061972,30,2,4
1689061976,31,2,4
1689061980,30,2,4
1689061984,1475,2,4
1689061988,4741,2,4
1689061992,2347,2,4
1689061996,141,2,4
1689062000,85,2,4
1689062004,78,2,4
1689062008,105,2,4
1689062012,7089,2,4
1689062016,3969,2,4
1689062020,5045,2,4
1689062024,3769,2,4
1689062028,6086,2,4
1689062032,527,2,4
1689062036,170,2,4
1689062040,204,2,4
1689062044,1156,2,4
1689062048,1285,2,4
1689062052,885,2,4
1689062056,404,2,4
1689062060,159,2,4
1689062064,68,2,4
1689062068,97,2,4
1689062072,205,2,4
1689062076,213,2,4
1689062080,172,2,4
1689062084,130,2,4
1689062088,228,2,4
1689062092,87,2,4
1689062096,1753,2,4
1689062100,1151,2,4
1689062104,326,2,4
1689062108,4177,2,4
1689062112,298,2,4
1689062116,2803,2,4
1689062120,614,2,4
1689062124,1764,2,4
1689062128,824,2,4
1689062132,2504,2,4
1689062136,3779,2,4
1689062140,1942,2,4
1689062144,1598,2,4
1689062148,1995,2,4
1689062152,1913,2,4
1689062156,1842,2,4
1689062160,1054,2,4
1689062164,828,2,4
1689062168,1432,2,4
1689062172,2832,2,4
1689062176,2003,2,4
1689062180,6413,2,4
1689062184,7366,2,4
1689062188,2638,2,4
1689062192,526,2,4
1689062196,246,2,4
1689062200,409,2,4
1689062204,448,2,4
1689062208,656,2,4
1689062212,296,2,4
1689062216,160,2,4
1689062220,267,2,4
1689062224,524,2,4
1689062228,260,2,4
1689062232,271,2,4
1689062236,81,2,4
1689062240,81,2,4
1689062244,85,2,4
1689062248,79,2,4
1689062252,108,2,4
1689062256,430,2,4
1689062260,136,2,4
1689062264,456,2,4
1689062268,403,2,4
1689062272,662,2,4
1689062276,248,2,4
1689062280,353,2,4
1689062284,884,2,4
1689062288,1124,2,4
1689062292,1068,2,4
1689062296,306,2,4
1689062300,1116,2,4
1689062304,111,2,4
1689062308,43,2,4
1689062312,158,2,4
1689062316,73,2,4
1689062320,203,2,4
1689062324,47,2,4
1689062328,68,2,4
1689062332,395,2,4
1689062336,414,2,4
1689062340,515,2,4
1689062344,138,2,4
1689062348,164,2,4
1689062352,325,2,4
1689062356,2591,2,4
1689062360,1899,2,4
1689062364,4091,2,4
1689062368,151,2,4
1689062372,65,2,4
1689062376,1588,2,4
1689062380,253,2,4
1689062384,1283,2,4
1689062388,1598,2,4
1689062392,217,2,4
1689062396,290,2,4
1689062400,1685,2,4
1689062404,1867,2,4
1689062408,923,2,4
1689062412,763,2,4
1689062416,382,2,4
1689062420,523,2,4
1689062424,980,2,4
1689062428,388,2,4
1689062432,242,2,4
1689062436,250,2,4
1689062440,431,2,4
1689062444,129,2,4
1689062448,1455,2,4
1689062452,579,2,4
1689062456,664,2,4
1689062460,1255,2,4
1689062464,615,2,4
1689062468,4687,2,4
1689062472,1546,2,4
1689062476,604,2,4
1689062480,487,2,4
1689062484,332,2,4
1689062488,1336,2,4
1689062492,1992,2,4
1689062496,510,2,4
1689062500,385,2,4
1689062504,249,2,4
1689062508,216,2,4
1689062512,1130,2,4
1689062516,409,2,4
1689062520,934,2,4
1689062524,3152,2,4
1689062528,3437,2,4
1689062532,286,2,4
1689062536,468,2,4
1689062540,1117,2,4
1689062544,224,2,4
1689062548,816,2,4
1689062552,290,2,4
1689062556,64,2,4
1689062560,83,2,4
1689062564,288,2,4
1689062568,3375,2,4
1689062572,1046,2,4
1689062576,2083,2,4
1689062580,9830,2,4
1689062584,4738,2,4
1689062588,675,2,4
1689062592,1071,2,4
1689062596,1069,2,4
1689062600,771,2,4
1689062604,329,2,4
1689062608,183,2,4
1689062612,1382,2,4
1689062616,491,2,4
1689062620,1169,2,4
1689062624,842,2,4
1689062628,723,2,4
1689062632,1389,2,4
1689062636,1719,2,4
1689062640,587,2,4
1689062644,102,2,4
1689062648,115,2,4
1689062652,175,2,4
1689062656,3451,2,4
1689062660,880,2,4
1689062664,701,2,4
1689062668,186,2,4
1689062672,799,2,4
1689062676,600,2,4
1689062680,427,2,4
1689062684,319,2,4
1689062688,320,2,4
1689062692,907,2,4
1689062696,1766,2,4
1689062700,531,2,4
1689062704,638,2,4
1689062708,307,2,4
1689062712,697,2,4
1689062716,204,2,4
1689062720,5783,2,4
1689062724,1907,2,4
1689062728,1486,2,4
1689062732,1162,2,4
1689062736,1704,2,4
1689062740,2025,2,4
1689062744,1560,2,4
1689062748,1908,2,4
1689062752,1788,2,4
1689062756,4236,2,4
1689062760,8097,2,4
1689062764,2423,2,4
1689062768,997,2,4
1689062772,967,2,4
1689062776,574,2,4
1689062780,3779,2,4
1689062784,7836,2,4
1689062788,2002,2,4
1689062792,5248,2,4
1689062796,3717,2,4
1689062800,4844,2,4
1689062804,4358,2,4
1689062808,5861,2,4
1689062812,1466,2,4
1689062816,178,2,4
1689062820,1284,2,4
1689062824,719,2,4
1689062828,309,2,4
1689062832,788,2,4
1689062836,2211,2,4
1689062840,197,2,4
1689062844,60,2,4
1689062848,2024,2,4
1689062852,1204,2,4
1689062856,618,2,4
1689062860,114,2,4
1689062864,52,2,4
1689062868,47,2,4
1689062872,64,2,4
1689062876,54,2,4
1689062880,56,2,4
1689062884,364,2,4
1689062888,1811,2,4
1689062892,145,2,4
1689062896,122,2,4
1689062900,73,2,4
1689062904,50,2,4
1689062908,49,2,4
1689062912,1387,2,4
1689062916,329,2,4
1689062920,226,2,4
1689062924,416,2,4
1689062928,101,2,4
1689062932,206,2,4
1689062936,53,2,4
1689062940,228,2,4
1689062944,424,2,4
1689062948,894,2,4
1689062952,66,2,4
1689062956,67,2,4
1689062960,188,2,4
1689062964,125,2,4
1689062968,968,2,4
1689062972,1217,2,4
1689062976,7365,2,4
1689062980,10042,2,4
1689062984,10240,2,4
1689062988,7743,2,4
1689062992,7590,2,4
1689062996,4087,2,4
1689063000,693,2,4
1689063004,73,2,4
1689063008,107,2,4
1689063012,75,2,4
1689063016,47,2,4
1689063020,98,2,4
1689063024,63,2,4
1689063028,65,2,4
1689063032,78,2,4
1689063036,73,2,4
1689063040,1566,2,4
1689063044,201,2,4
1689063048,2071,2,4
1689063052,7187,2,4
1689063056,1264,2,4
1689063060,1664,2,4
1689063064,490,2,4
1689063068,826,2,4
1689063072,972,2,4
1689063076,5091,2,4
1689063080,386,2,4
1689063084,4193,2,4
1689063088,343,2,4
1689063092,214,2,4
1689063096,1160,2,4
1689063100,119,2,4
1689063104,571,2,4
1689063108,428,2,4
1689063112,1166,2,4
1689063116,398,2,4
1689063120,946,2,4
1689063124,621,2,4
1689063128,195,2,4
1689063132,389,2,4
1689063136,2825,2,4
1689063140,711,2,4
1689063144,459,2,4
1689063148,580,2,4
1689063152,140,2,4
1689063156,1096,2,4
1689063160,687,2,4
1689063164,466,2,4
1689063168,109,2,4
1689063172,683,2,4
1689063176,138,2,4
1689063180,66,2,4
1689063184,115,2,4
1689063188,86,2,4
1689063192,1854,2,4
1689063196,2161,2,4
1689063200,667,2,4
1689063204,2188,2,4
1689063208,1745,2,4
1689063212,1542,2,4
1689063216,445,2,4
1689063220,920,2,4
1689063224,1035,2,4
1689063228,1231,2,4
1689063232,631,2,4
1689063236,531,2,4
1689063240,401,2,4
1689063244,1700,2,4
1689063248,2090,2,4
1689063252,1221,2,4
1689063256,1654,2,4
1689063260,916,2,4
1689063264,1571,2,4
1689063268,8366,2,4
1689063272,4491,2,4
1689063276,5621,2,4
1689063280,5848,2,4
1689063284,6441,2,4
1689063288,6460,2,4
1689063292,1659,2,4
1689063296,6505,2,4
1689063300,6638,2,4
1689063304,5134,2,4
1689063308,3368,2,4
1689063312,2089,2,4
1689063316,321,2,4
1689063320,2194,2,4
1689063324,3801,2,4
1689063328,2277,2,4
1689063332,1754,2,4
1689063336,3736,2,4
1689063340,1135,2,4
1689063344,4015,2,4
1689063348,4503,2,4
1689063352,2757,2,4
1689063356,913,2,4
1689063360,2032,2,4
1689063364,777,2,4
1689063368,747,2,4
1689063372,476,2,4
1689063376,81,2,4
1689063380,846,2,4
1689063384,704,2,4
1689063388,220,2,4
1689063392,137,2,4
1689063396,710,2,4
1689063400,1166,2,4
1689063404,899,2,4
1689063408,185,2,4
1689063412,1814,2,4
1689063416,142,2,4
1689063420,7290,2,4
1689063424,5741,2,4
1689063428,10479,2,4
1689063432,4774,2,4
1689063436,9060,2,4
1689063440,3513,2,4
1689063444,1504,2,4
1689063448,3927,2,4
1689063452,7407,2,4
1689063456,5276,2,4
1689063460,6661,2,4
1689063464,1856,2,4
1689063468,1593,2,4
1689063472,499,2,4
1689063476,718,2,4
1689063480,1064,2,4
1689063484,401,2,4
1689063488,2009,2,4
1689063492,1059,2,4
1689063496,385,2,4
1689063500,273,2,4
1689063504,232,2,4
1689063508,240,2,4
1689063512,173,2,4
1689063516,51,2,4
1689063520,34,2,4
1689063524,32,2,4
1689063528,41,2,4
1689063532,38,2,4
1689063536,44,2,4
1689063540,5823,2,4
1689063544,4903,2,4
1689063548,298,2,4
1689063552,408,2,4
1689063556,455,2,4
1689063560,174,2,4
1689063564,465,2,4
1689063568,2270,2,4
1689063572,431,2,4
1689063576,2307,2,4
1689063580,870,2,4
1689063584,986,2,4
1689063588,1516,2,4
1689063592,927,2,4
1689063596,466,2,4
1689063600,340,2,4
1689063604,305,2,4
1689063608,1548,2,4
1689063612,2469,2,4
1689063616,3121,2,4
1689063620,3315,2,4
1689063624,2681,2,4
1689063628,2175,2,4
1689063632,1705,2,4
1689063636,942,2,4
1689063640,2598,2,4
1689063644,764,2,4
1689063648,874,2,4
1689063652,222,2,4
1689063656,515,2,4
1689063660,571,2,4
1689063664,1175,2,4
1689063668,609,2,4
1689063672,662,2,4
1689063676,496,2,4
1689063680,123,2,4
1689063684,1726,2,4
1689063688,2726,2,4
1689063692,9603,2,4
1689063696,2598,2,4
1689063700,5488,2,4
1689063704,8222,2,4
1689063708,4918,2,4
1689063712,4047,2,4
1689063716,1815,2,4
1689063720,1879,2,4
1689063724,2777,2,4
1689063728,463,2,4
1689063732,389,2,4
1689063736,254,2,4
1689063740,196,2,4
1689063744,249,2,4
1689063748,214,2,4
1689063752,154,2,4
1689063756,249,2,4
1689063760,458,2,4
1689063764,389,2,4
1689063768,408,2,4
1689063772,187,2,4
1689063776,57,2,4
1689063780,223,2,4
1689063784,642,2,4
1689063788,4544,2,4
1689063792,819,2,4
1689063796,2027,2,4
1689063800,3142,2,4
1689063804,87,2,4
1689063808,93,2,4
1689063812,53,2,4
1689063816,47,2,4
1689063820,169,2,4
1689063824,51,2,4
1689063828,49,2,4
1689063832,42,2,4
1689063836,141,2,4
1689063840,2808,2,4
1689063844,3221,2,4
1689063848,874,2,4
1689063852,1386,2,4
1689063856,841,2,4
1689063860,749,2,4
1689063864,841,2,4
1689063868,2060,2,4
1689063872,949,2,4
1689063876,2191,2,4
1689063880,669,2,4
1689063884,160,2,4
1689063888,1793,2,4
1689063892,1046,2,4
1689063896,2119,2,4
1689063900,174,2,4
1689063904,484,2,4
1689063908,1859,2,4
1689063912,660,2,4
1689063916,1494,2,4
1689063920,2896,2,4
1689063924,1143,2,4
1689063928,1018,2,4
1689063932,857,2,4
1689063936,515,2,4
1689063940,1477,2,4
1689063944,2177,2,4
1689063948,939,2,4
1689063952,1788,2,4
1689063956,2180,2,4
1689063960,1573,2,4
1689063964,457,2,4
1689063968,668,2,4
1689063972,3790,2,4
1689063976,2007,2,4
1689063980,1558,2,4
1689063984,84,2,4
1689063988,58,2,4
1689063992,2737,2,4
1689063996,1066,2,4
1689064000,1616,2,4
1689064004,1048,2,4
1689064008,717,2,4
1689064012,335,2,4
1689064016,677,2,4
1689064020,106,2,4
1689064024,214,2,4
1689064028,71,2,4
1689064032,313,2,4
1689064036,977,2,4
1689064040,1065,2,4
1689064044,5617,2,4
1689064048,2718,2,4
1689064052,485,2,4
1689064056,2055,2,4
1689064060,298,2,4
1689064064,1373,2,4
1689064068,4138,2,4
1689064072,4972,2,4
1689064076,9295,2,4
1689064080,195,2,4
1689064084,5000,2,4
1689064088,1477,2,4
1689064092,1834,2,4
1689064096,1854,2,4
1689064100,2121,2,4
1689064104,961,2,4
1689064108,2596,2,4
1689064112,9637,2,4
1689064116,2041,2,4
1689064120,1803,2,4
1689064124,2277,2,4
1689064128,1465,2,4
1689064132,1018,2,4
1689064136,8024,2,4
1689064140,2095,2,4
1689064144,1268,2,4
1689064148,3558,2,4
1689064152,1437,2,4
1689064156,2615,2,4
1689064160,1193,2,4
1689064164,839,2,4
1689064168,1249,2,4
1689064172,77,2,4
1689064176,3803,2,4
1689064180,763,2,4
1689064184,292,2,4
1689064188,2157,2,4
1689064192,64,2,4
1689064196,68,2,4
1689064200,56,2,4
1689064204,84,2,4
1689064208,43,2,4
1689064212,156,2,4
1689064216,55,2,4
1689064220,1369,2,4
1689064224,1287,2,4
1689064228,765,2,4
1689064232,2349,2,4
1689064236,554,2,4
1689064240,403,2,4
1689064244,358,2,4
1689064248,3954,2,4
1689064252,1050,2,4
1689064256,5392,2,4
1689064260,4215,2,4
1689064264,105,2,4
1689064268,91,2,4
1689064272,318,2,4
1689064276,413,2,4
1689064280,158,2,4
1689064284,380,2,4
1689064288,84,2,4
1689064292,2538,2,4
1689064296,4713,2,4
1689064300,1185,2,4
1689064304,208,2,4
1689064308,602,2,4
1689064312,461,2,4
1689064316,417,2,4
1689064320,2725,2,4
1689064324,3728,2,4
1689064328,2588,2,4
1689064332,417,2,4
1689064336,132,2,4
1689064340,328,2,4
1689064344,72,2,4
1689064348,3619,2,4
1689064352,8342,2,4
1689064356,2877,2,4
1689064360,435,2,4
1689064364,3045,2,4
1689064368,2656,2,4
1689064372,840,2,4
1689064376,136,2,4
1689064380,814,2,4
1689064384,1273,2,4
1689064388,3409,2,4
1689064392,1538,2,4
1689064396,856,2,4
1689064400,1189,2,4
1689064404,119,2,4
1689064408,96,2,4
1689064412,620,2,4
1689064416,962,2,4
1689064420,56,2,4
1689064424,3423,2,4
1689064428,1096,2,4
1689064432,973,2,4
1689064436,705,2,4
1689064440,54,2,4
1689064444,1834,2,4
1689064448,190,2,4
1689064452,146,2,4
1689064456,69,2,4
1689064460,72,2,4
1689064464,114,2,4
1689064468,2029,2,4
1689064472,695,2,4
1689064476,3142,2,4
1689064480,1600,2,4
1689064484,1001,2,4
1689064488,4493,2,4
1689064492,1263,2,4
1689064496,1008,2,4
1689064500,573,2,4
1689064504,8718,2,4
1689064508,5326,2,4
1689064512,638,2,4
1689064516,697,2,4
1689064520,797,2,4
1689064524,895,2,4
1689064528,2034,2,4
1689064532,625,2,4
1689064536,231,2,4
1689064540,1499,2,4
1689064544,3203,2,4
1689064548,4556,2,4
1689064552,360,2,4
1689064556,326,2,4
1689064560,1839,2,4
1689064564,3371,2,4
1689064568,618,2,4
1689064572,77,2,4
1689064576,2286,2,4
1689064580,1534,2,4
1689064584,645,2,4
1689064588,2227,2,4
1689064592,2078,2,4
1689064596,723,2,4
1689064600,2017,2,4
1689064604,1427,2,4
1689064608,402,2,4
1689064612,161,2,4
1689064616,97,2,4
1689064620,5328,2,4
1689064624,178,2,4
1689064628,111,2,4
1689064632,82,2,4
1689064636,76,2,4
1689064640,59,2,4
1689064644,455,2,4
1689064648,152,2,4
1689064652,64,2,4
1689064656,60,2,4
1689064660,3921,2,4
1689064664,464,2,4
1689064668,618,2,4
1689064672,145,2,4
1689064676,915,2,4
1689064680,130,2,4
1689064684,3977,2,4
1689064688,1816,2,4
1689064692,801,2,4
1689064696,909,2,4
1689064700,228,2,4
1689064704,2230,2,4
1689064708,1446,2,4
1689064712,2735,2,4
1689064716,377,2,4
1689064720,335,2,4
1689064724,227,2,4
1689064728,71,2,4
1689064732,134,2,4
1689064736,212,2,4
1689064740,470,2,4
1689064744,114,2,4
1689064748,108,2,4
1689064752,150,2,4
1689064756,231,2,4
1689064760,432,2,4
1689064764,2210,2,4
1689064768,2069,2,4
1689064772,1150,2,4
1689064776,960,2,4
1689064780,1612,2,4
1689064784,1021,2,4
1689064788,1307,2,4
1689064792,948,2,4
1689064796,312,2,4
1689064800,2902,2,4
1689064804,1701,2,4
1689064808,1169,2,4
1689064812,1876,2,4
1689064816,219,2,4
1689064820,3296,2,4
1689064824,938,2,4
1689064828,742,2,4
1689064832,540,2,4
1689064836,505,2,4
1689064840,549,2,4
1689064844,2269,2,4
1689064848,126,2,4
1689064852,43,2,4
1689064856,45,2,4
1689064860,1780,2,4
1689064864,1802,2,4
1689064868,584,2,4
1689064872,6056,2,4
1689064876,4547,2,4
1689064880,326,2,4
1689064884,121,2,4
1689064888,70,2,4
1689064892,66,2,4
1689064896,57,2,4
1689064900,4679,2,4
1689064904,2096,2,4
1689064908,1463,2,4
1689064912,640,2,4
1689064916,1023,2,4
1689064920,1224,2,4
1689064924,818,2,4
1689064928,3866,2,4
1689064932,1121,2,4
1689064936,1084,2,4
1689064940,953,2,4
1689064944,710,2,4
1689064948,672,2,4
1689064952,507,2,4
1689064956,1403,2,4
1689064960,807,2,4
1689064964,724,2,4
1689064968,1016,2,4
1689064972,594,2,4
1689064976,5941,2,4
1689064980,1582,2,4
1689064984,1540,2,4
1689064988,1469,2,4
1689064992,2649,2,4
1689064996,1188,2,4
1689065000,956,2,4
1689065004,1375,2,4
1689065008,873,2,4
1689065012,136,2,4
1689065016,805,2,4
1689065020,127,2,4
1689065024,1171,2,4
1689065028,534,2,4
1689065032,673,2,4
1689065036,1217,2,4
1689065040,1545,2,4
1689065044,166,2,4
1689065048,2043,2,4
1689065052,790,2,4
1689065056,66,2,4
1689065060,32,2,4
1689065064,31,2,4
1689065068,3441,2,4
1689065072,268,2,4
1689065076,3950,2,4
1689065080,2564,2,4
1689065084,2283,2,4
1689065088,1215,2,4
1689065092,1824,2,4
1689065096,138,2,4
1689065100,359,2,4
1689065104,95,2,4
1689065108,51,2,4
1689065112,54,2,4
1689065116,73,2,4
1689065120,486,2,4
1689065124,1167,2,4
1689065128,5488,2,4
1689065132,2558,2,4
1689065136,1952,2,4
1689065140,2863,2,4
1689065144,1228,2,4
1689065148,150,2,4
1689065152,155,2,4
1689065156,152,2,4
1689065160,1820,2,4
1689065164,2500,2,4
1689065168,913,2,4
1689065172,141,2,4
1689065176,452,2,4
1689065180,75,2,4
1689065184,59,2,4
1689065188,466,2,4
1689065192,856,2,4
1689065196,292,2,4
1689065200,284,2,4
1689065204,424,2,4
1689065208,1462,2,4
1689065212,627,2,4
1689065216,509,2,4
1689065220,4548,2,4
1689065224,1910,2,4
1689065228,700,2,4
1689065232,931,2,4
1689065236,514,2,4
1689065240,973,2,4
1689065244,921,2,4
1689065248,3090,2,4
1689065252,3639,2,4
1689065256,401,2,4
1689065260,514,2,4
1689065264,2480,2,4
1689065268,3338,2,4
1689065272,850,2,4
1689065276,1225,2,4
1689065280,932,2,4
1689065284,502,2,4
1689065288,438,2,4
1689065292,423,2,4
1689065296,65,2,4
1689065300,109,2,4
1689065304,1216,2,4
1689065308,921,2,4
1689065312,2299,2,4
1689065316,548,2,4
1689065320,537,2,4
1689065324,139,2,4
1689065328,445,2,4
1689065332,883,2,4
1689065336,605,2,4
1689065340,224,2,4
1689065344,54,2,4
1689065348,53,2,4
1689065352,230,2,4
1689065356,194,2,4
1689065360,176,2,4
1689065364,48,2,4
1689065368,401,2,4
1689065372,259,2,4
1689065376,861,2,4
1689065380,593,2,4
1689065384,636,2,4
1689065388,834,2,4
1689065392,238,2,4
1689065396,339,2,4
1689065400,76,2,4
1689065404,55,2,4
1689065408,50,2,4
1689065412,56,2,4
1689065416,50,2,4
1689065420,51,2,4
1689065424,577,2,4
1689065428,2192,2,4
1689065432,2799,2,4
1689065436,2716,2,4
1689065440,851,2,4
1689065444,412,2,4
1689065448,979,2,4
1689065452,649,2,4
1689065456,990,2,4
1689065460,552,2,4
1689065464,288,2,4
1689065468,114,2,4
1689065472,154,2,4
1689065476,193,2,4
1689065480,210,2,4
1689065484,183,2,4
1689065488,1636,2,4
1689065492,3613,2,4
1689065496,1091,2,4
1689065500,813,2,4
1689065504,98,2,4
1689065508,60,2,4
1689065512,3674,2,4
1689065516,2448,2,4
1689065520,56,2,4
1689065524,118,2,4
1689065528,2137,2,4
1689065532,2248,2,4
1689065536,936,2,4
1689065540,510,2,4
1689065544,2264,2,4
1689065548,5106,2,4
1689065552,9711,2,4
1689065556,4722,2,4
1689065560,8275,2,4
1689065564,5769,2,4
1689065568,533,2,4
1689065572,56,2,4
1689065576,4084,2,4
1689065580,3064,2,4
1689065584,2583,2,4
1689065588,379,2,4
1689065592,96,2,4
1689065596,125,2,4
1689065600,1632,2,4
1689065604,2233,2,4
1689065608,1982,2,4
1689065612,1075,2,4
1689065616,632,2,4
1689065620,1079,2,4
1689065624,831,2,4
1689065628,2630,2,4
1689065632,1268,2,4
1689065636,1366,2,4
1689065640,739,2,4
1689065644,362,2,4
1689065648,2158,2,4
1689065652,1954,2,4
1689065656,6337,2,4
1689065660,7285,2,4
1689065664,6093,2,4
1689065668,8159,2,4
1689065672,17129,2,4
1689065676,9544,2,4
1689065680,4692,2,4
1689065684,2564,2,4
1689065688,6268,2,4
1689065692,3591,2,4
1689065696,189,2,4
1689065700,114,2,4
1689065704,138,2,4
1689065708,143,2,4
1689065712,132,2,4
1689065716,1714,2,4
1689065720,2385,2,4
1689065724,2322,2,4
1689065728,6070,2,4
1689065732,7256,2,4
1689065736,2499,2,4
1689065740,2478,2,4
1689065744,7639,2,4
1689065748,5394,2,4
1689065752,6361,2,4
1689065756,9519,2,4
1689065760,3792,2,4
1689065764,9856,2,4
1689065768,6857,2,4
1689065772,4172,2,4
1689065776,7478,2,4
1689065780,7325,2,4
1689065784,5034,2,4
1689065788,3287,2,4
1689065792,173,2,4
1689065796,3886,2,4
1689065800,5292,2,4
1689065804,155,2,4
1689065808,4066,2,4
1689065812,7861,2,4
1689065816,629,2,4
1689065820,486,2,4
1689065824,5719,2,4
1689065828,9664,2,4
1689065832,5529,2,4
1689065836,1179,2,4
1689065840,1269,2,4
1689065844,577,2,4
1689065848,5718,2,4
1689065852,9937,2,4
1689065856,6770,2,4
1689065860,7027,2,4
1689065864,5682,2,4
1689065868,8153,2,4
1689065872,6482,2,4
1689065876,12572,2,4
1689065880,6106,2,4
1689065884,2703,2,4
1689065888,817,2,4
1689065892,376,2,4
1689065896,574,2,4
1689065900,3665,2,4
1689065904,1026,2,4
1689065908,3539,2,4
1689065912,1091,2,4
1689065916,222,2,4
1689065920,112,2,4
1689065924,161,2,4
1689065928,385,2,4
1689065932,217,2,4
1689065936,528,2,4
1689065940,712,2,4
1689065944,1591,2,4
1689065948,1015,2,4
1689065952,404,2,4
1689065956,174,2,4
1689065960,326,2,4
1689065964,70,2,4
1689065968,200,2,4
1689065972,541,2,4
1689065976,246,2,4
1689065980,173,2,4
1689065984,82,2,4
